x fnow fnext h0 vel2
23500 0 0 8000 78480
23600 0 0 8000 78480
23700 0 0 8000 78480
23800 0 0 8000 78480
23900 0 0 8000 78480
24000 0 0 8000 78480
24100 0 0 8000 78480
24200 0 0 8000 78480
24300 0 0 8000 78480
24400 0 0 8000 78480
24500 0 0 8000 78480
24600 0 0 8000 78480
24700 0 0 8000 78480
24800 0 0 8000 78480
24900 0 0 8000 78480
25000 0 0 8000 78480
25100 0 0 8000 78480
25200 0 0 8000 78480
25300 0 0 8000 78480
25400 0 0 8000 78480
25500 0 0 8000 78480
25600 0 0 8000 78480
25700 0 0 8000 78480
25800 0 0 8000 78480
25900 0 0 8000 78480
26000 0 0 8000 78480
26100 0 0 8000 78480
26200 0 0 8000 78480
26300 0 0 8000 78480
26400 0 0 8000 78480
26500 0 0 8000 78480
26600 0 0 8000 78480
26700 0 0 8000 78480
26800 0 0 8000 78480
26900 0 0 8000 78480
27000 0 0 8000 78480
27100 0 0 8000 78480
27200 0 0 8000 78480
27300 0 0 8000 78480
27400 0 0 8000 78480
27500 0 0 8000 78480
27600 0 0 8000 78480
27700 0 0 8000 78480
27800 0 0 8000 78480
27900 0 0 8000 78480
28000 0 0 8000 78480
28100 0 0 8000 78480
28200 0 0 8000 78480
28300 0 0 8000 78480
28400 0 0 8000 78480
28500 0 0 8000 78480
28600 0 0 8000 78480
28700 0 0 8000 78480
28800 0 0 8000 78480
28900 0 0 8000 78480
29000 0 0 8000 78480
29100 0 0 8000 78480
29200 0 0 8000 78480
29300 0 0 8000 78480
29400 0 0 8000 78480
29500 0 0 8000 78480
29600 0 0 8000 78480
29700 0 0 8000 78480
29800 0 0 8000 78480
29900 0 0 8000 78480
30000 0 0 8000 78480
30100 0 0 8000 78480
30200 0 0 8000 78480
30300 0 0 8000 78480
30400 0 0 8000 78480
30500 0 0 8000 78480
30600 0 0 8000 78480
30700 0 0 8000 78480
30800 0 0 8000 78480
30900 0 0 8000 78480
31000 0 0 8000 78480
31100 0 0 8000 78480
31200 0 0 8000 78480
31300 0 0 8000 78480
31400 0 0 8000 78480
31500 0 0 8000 78480
31600 0 0 8000 78480
31700 0 0 8000 78480
31800 0 0 8000 78480
31900 0 0 8000 78480
32000 0 0 8000 78480
32100 0 0 8000 78480
32200 0 0 8000 78480
32300 0 0 8000 78480
32400 0 0 8000 78480
32500 0 0 8000 78480
32600 0 0 8000 78480
32700 0 0 8000 78480
32800 0 0 8000 78480
32900 0 0 8000 78480
33000 0 0 8000 78480
33100 0 0 8000 78480
33200 0 0 8000 78480
33300 0 0 8000 78480
33400 0 0 8000 78480
33500 0 0 8000 78480
33600 0 0 8000 78480
33700 0 0 8000 78480
33800 0 0 8000 78480
33900 0 0 8000 78480
34000 0 0 8000 78480
34100 0 0 8000 78480
34200 0 0 8000 78480
34300 0 0 8000 78480
34400 0 0 8000 78480
34500 0 0 8000 78480
34600 0 0 8000 78480
34700 0 0 8000 78480
34800 0 0 8000 78480
34900 0 0 8000 78480
35000 0 0 8000 78480
35100 0 0 8000 78480
35200 0 0 8000 78480
35300 0 0 8000 78480
35400 0 0 8000 78480
35500 0 0 8000 78480
35600 0 0 8000 78480
35700 0 0 8000 78480
35800 0 0 8000 78480
35900 0 0 8000 78480
36000 0 0 8000 78480
36100 0 0 8000 78480
36200 0 0 8000 78480
36300 0 0 8000 78480
36400 0 0 8000 78480
36500 0 0 8000 78480
36600 0 0 8000 78480
36700 0 0 8000 78480
36800 0 0 8000 78480
36900 0 0 8000 78480
37000 0 0 8000 78480
37100 0 0 8000 78480
37200 0 0 8000 78480
37300 0 0 8000 78480
37400 0 0 8000 78480
37500 0 0 8000 78480
37600 0 0 8000 78480
37700 0 0 8000 78480
